#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 0.200 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 169  2.597167  3.9727  3.5789  2.1323 -0.1378 -0.9321 -0.6344 -0.3931 -0.1706
 170  2.596996  3.9610  3.5200  2.1438 -0.1816 -0.9439 -0.6781 -0.4571 -0.2471
 171  2.596878  3.9503  3.4644  2.1573 -0.2170 -0.9584 -0.7222 -0.5192 -0.3207
 172  2.596831  3.9409  3.4123  2.1705 -0.2475 -0.9745 -0.7684 -0.5831 -0.3936
 173  2.596841  3.9313  3.3610  2.1850 -0.2805 -0.9926 -0.8154 -0.6450 -0.4652
 174  2.596912  3.9226  3.3106  2.2005 -0.3329 -1.0189 -0.8584 -0.7020 -0.5301
 175  2.597047  3.9149  3.2624  2.2162 -0.3788 -1.0443 -0.9035 -0.7605 -0.5972
 176  2.597236  3.9074  3.2191  2.2325 -0.4030 -1.0649 -0.9556 -0.8239 -0.6691
 177  2.597478  3.9020  3.1789  2.2481 -0.4236 -1.0944 -1.0047 -0.8827 -0.7330
 178  2.597750  3.8963  3.1417  2.2639 -0.4446 -1.1292 -1.0500 -0.9339 -0.7888
 179  2.598049  3.8908  3.1052  2.2776 -0.4656 -1.1578 -1.0925 -0.9837 -0.8435
 180  2.598357  3.8850  3.0711  2.2909 -0.4817 -1.1767 -1.1326 -1.0332 -0.8990
 181  2.598669  3.8801  3.0385  2.3032 -0.4991 -1.1925 -1.1691 -1.0784 -0.9491
 182  2.598978  3.8753  3.0013  2.3205 -0.5454 -1.2267 -1.2173 -1.1344 -1.0114
 183  2.599288  3.8710  2.9682  2.3363 -0.5912 -1.2596 -1.2610 -1.1866 -1.0675
 184  2.599587  3.8666  2.9373  2.3499 -0.6203 -1.2853 -1.3014 -1.2334 -1.1186
 185  2.599864  3.8629  2.9112  2.3618 -0.6508 -1.3095 -1.3380 -1.2758 -1.1644
 186  2.600070  3.8603  2.8914  2.3698 -0.6862 -1.3290 -1.3658 -1.3086 -1.1993
 187  2.600190  3.8584  2.8844  2.3706 -0.7167 -1.3332 -1.3746 -1.3204 -1.2120
 188  2.600213  3.8576  2.8956  2.3554 -0.7193 -1.3037 -1.3463 -1.2938 -1.1855
 189  2.600191  3.8568  2.9269  2.3207 -0.6718 -1.2245 -1.2691 -1.2174 -1.1095
 190  2.600149  3.8548  2.9726  2.2691 -0.5707 -1.1002 -1.1485 -1.0994 -0.9915
 191  2.600085  3.8531  3.0291  2.2049 -0.4327 -0.9416 -0.9976 -0.9513 -0.8452
 192  2.599988  3.8513  3.0944  2.1319 -0.2670 -0.7577 -0.8234 -0.7807 -0.6754
 193  2.599829  3.8495  3.1699  2.0479 -0.0740 -0.5477 -0.6229 -0.5826 -0.4790
 194  2.599640  3.8471  3.2571  1.9524  0.1555 -0.3089 -0.3933 -0.3557 -0.2526
 195  2.599482  3.8428  3.3451  1.8467  0.4552 -0.0291 -0.1330 -0.1017 -0.0030
 196  2.599425  3.8369  3.4378  1.7312  0.8068  0.2822  0.1532  0.1761  0.2686
 197  2.599425  3.8284  3.5242  1.6124  1.2132  0.6192  0.4531  0.4623  0.5454
 198  2.599563  3.8188  3.5988  1.4978  1.6486  0.9583  0.7456  0.7394  0.8102
 199  2.599827  3.8072  3.6496  1.3990  2.0844  1.2706  1.0036  0.9773  1.0340
 200  2.600219  3.7933  3.6658  1.3285  2.4856  1.5224  1.1947  1.1469  1.1858
 201  2.600580  3.7816  3.6569  1.2904  2.7892  1.6840  1.3058  1.2384  1.2620
 202  2.600835  3.7725  3.6362  1.2757  2.9876  1.7706  1.3554  1.2735  1.2863
 203  2.601013  3.7658  3.6141  1.2713  3.1262  1.8208  1.3762  1.2840  1.2877
 204  2.601150  3.7608  3.5916  1.2720  3.2285  1.8494  1.3810  1.2799  1.2766
 205  2.601258  3.7564  3.5695  1.2773  3.3058  1.8636  1.3757  1.2668  1.2583
 206  2.601358  3.7531  3.5495  1.2827  3.3644  1.8706  1.3660  1.2505  1.2379
 207  2.601438  3.7499  3.5307  1.2898  3.4102  1.8711  1.3522  1.2323  1.2161
 208  2.601504  3.7471  3.5137  1.2973  3.4481  1.8682  1.3383  1.2141  1.1950
 209  2.601574  3.7458  3.4974  1.3057  3.4739  1.8592  1.3202  1.1921  1.1703
 210  2.601635  3.7438  3.4815  1.3145  3.4916  1.8476  1.3003  1.1690  1.1452
 211  2.601699  3.7422  3.4664  1.3225  3.4986  1.8349  1.2801  1.1469  1.1209
 212  2.601753  3.7411  3.4513  1.3322  3.4984  1.8200  1.2593  1.1236  1.0954
 213  2.601772  3.7396  3.4350  1.3435  3.4883  1.7984  1.2318  1.0946  1.0645
 214  2.601820  3.7384  3.4200  1.3537  3.4743  1.7801  1.2084  1.0696  1.0372
 215  2.601860  3.7369  3.4053  1.3630  3.4563  1.7608  1.1856  1.0451  1.0109
 216  2.601889  3.7357  3.3907  1.3734  3.4343  1.7403  1.1600  1.0184  0.9818
 217  2.601918  3.7356  3.3858  1.3770  3.4292  1.7335  1.1519  1.0098  0.9730
 218  2.601942  3.7355  3.3810  1.3803  3.4230  1.7263  1.1438  1.0014  0.9641
 219  2.601963  3.7350  3.3770  1.3839  3.4178  1.7191  1.1357  0.9927  0.9552
 220  2.601991  3.7345  3.3718  1.3875  3.4163  1.7143  1.1286  0.9858  0.9470
 221  2.602012  3.7348  3.3682  1.3907  3.4080  1.7057  1.1201  0.9762  0.9372
 222  2.602038  3.7342  3.3634  1.3939  3.4032  1.6993  1.1125  0.9683  0.9288
 223  2.602062  3.7341  3.3593  1.3975  3.3983  1.6930  1.1048  0.9604  0.9206
 224  2.602082  3.7340  3.3549  1.4006  3.3935  1.6862  1.0971  0.9521  0.9122
 225  2.602111  3.7332  3.3509  1.4042  3.3882  1.6799  1.0898  0.9442  0.9033
 226  2.602132  3.7331  3.3461  1.4074  3.3838  1.6728  1.0818  0.9356  0.8949
 227  2.602331  3.7308  3.3100  1.4350  3.3394  1.6170  1.0170  0.8676  0.8228
 228  2.602467  3.7291  3.2814  1.4562  3.3049  1.5749  0.9678  0.8153  0.7673
 229  2.602734  3.7265  3.2335  1.4934  3.2525  1.5006  0.8815  0.7249  0.6714
 230  2.602712  3.7257  3.2228  1.5004  3.2373  1.4853  0.8641  0.7060  0.6517
 231  2.602888  3.7236  3.1856  1.5294  3.2050  1.4281  0.7980  0.6356  0.5781
 232  2.602891  3.7229  3.1725  1.5388  3.1895  1.4080  0.7744  0.6116  0.5523
 233  2.603018  3.7208  3.1426  1.5625  3.1622  1.3604  0.7193  0.5537  0.4922
 234  2.603296  3.7185  3.0950  1.6005  3.1180  1.2832  0.6310  0.4604  0.3948
 235  2.603429  3.7173  3.0700  1.6212  3.0865  1.2384  0.5817  0.4089  0.3423
 236  2.603714  3.7149  3.0227  1.6581  3.0522  1.1655  0.4968  0.3193  0.2486
 237  2.603704  3.7143  3.0143  1.6647  3.0385  1.1490  0.4794  0.3009  0.2302
 238  2.603936  3.7128  2.9749  1.6969  3.0036  1.0842  0.4048  0.2227  0.1492
 239  2.604246  3.7105  2.9275  1.7347  2.9586  1.0059  0.3157  0.1291  0.0516
 240  2.604387  3.7091  2.9013  1.7555  2.9337  0.9627  0.2657  0.0769 -0.0025
 241  2.604516  3.7079  2.8738  1.7783  2.9055  0.9158  0.2123  0.0211 -0.0596
