objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671125370339600,132.783311868721,11.8321696748007,17.8753,16.16163,15.47219,15.15007,14.9805,0.01209843,0.003599137,0.003332239,0.003371883,0.004525695
1237671125370339800,132.786702376514,11.8408685892061,23.95331,25.11424,24.80165,17.19934,16.65286,0.7624127,0.9344697,1.249411,0.00553138,0.008590964
1237671125370339600,132.800787213828,11.8425055416585,16.73898,15.24265,14.68542,14.44648,14.37939,0.007131193,0.003217603,0.003104483,0.00314954,0.003954499
1237671125370339600,132.802796132979,11.8429286575507,15.09798,13.84291,13.48527,15.62704,13.34687,0.004076311,0.002957634,0.002938444,0.01264608,0.00345666
1237671125370339600,132.786134065622,11.8252844579676,16.456,15.09235,14.57947,14.35527,14.56782,0.006490791,0.00313307,0.002986101,0.00302284,0.004522047
1237671125370339600,132.807146094788,11.8330220471351,15.6821,14.51813,14.17936,14.05802,14.04088,0.004779039,0.003029058,0.003016,0.003111103,0.003739098
1237671125370339600,132.79899496256,11.8338417193645,17.9042,15.87074,15.07778,14.77579,14.66375,0.01223089,0.003384998,0.003150674,0.003177586,0.004181397
1237671125370339600,132.783922645502,11.8116799807139,20.42996,17.90752,16.5639,15.82485,15.38441,0.05510574,0.005588764,0.003915827,0.003706032,0.005024622
1237671125370340400,132.782671900982,11.8164445057953,24.56931,22.42991,21.00964,20.12985,19.47678,0.9312923,0.1017038,0.04496713,0.0313166,0.05788085
1237671125370339600,132.787171986216,11.8105150238152,15.76888,14.31244,13.79378,15.23075,13.57943,0.004964076,0.003067464,0.002804553,0.01187713,0.003587059
1237671125370339600,132.782612182151,11.8027124513114,14.70442,14.15132,13.82689,13.75155,13.40141,0.00676393,0.008863233,0.008909334,0.008819844,0.007631815
1237671125370339600,132.782471821535,11.8029186407466,19.25193,25.11438,24.80203,24.3618,17.08062,0.09424651,5.09674,4.473822,3.34905,0.02498295
1237671125370339600,132.788570331499,11.8058466575197,15.05114,14.46478,14.06193,14.87597,13.31978,0.004389318,0.01190798,0.009786285,0.0106323,0.004053071
1237671125370339800,132.812508911501,11.8145567769462,22.29547,18.39513,17.14668,16.54996,16.23112,0.2433034,0.007674548,0.004742073,0.004444567,0.007482773
1237671125370339800,132.818625403639,11.8166980093353,23.01325,18.78561,17.41042,16.81936,16.53058,0.3972858,0.00805753,0.005099192,0.004749053,0.00815168
1237671262272291000,132.815419413752,11.8043581728654,16.0829,14.92788,15.7326,14.48089,14.46807,0.007362269,0.004636577,0.01338736,0.005077009,0.00601221
1237671262272291000,132.821220825842,11.8044786972795,16.39768,14.05546,13.21041,12.24332,12.1479,0.01789256,0.01110403,0.009405385,0.01079581,0.01397877
1237671125370339800,132.821099980727,11.8085681192597,22.184,20.23656,18.88799,17.63982,17.28405,0.2125698,0.01944964,0.01064354,0.006600828,0.01245838
1237671125370339600,132.821027081475,11.8074242420409,20.71427,18.36317,17.05805,16.26044,16.04651,0.06775625,0.006860174,0.004562007,0.004000581,0.006623515
1237671125370339600,132.800902430412,11.8096333276373,15.37153,14.13027,13.75225,14.79805,13.61339,0.004371594,0.003008096,0.002976067,0.01110971,0.003593602
1237671125370339600,132.800182797309,11.8074309746217,16.66474,15.1893,14.67732,14.52619,14.47534,0.006946293,0.003211685,0.002936073,0.00322522,0.004112175
1237671125370339600,132.812676996833,11.8225190662895,15.65143,14.37802,13.98127,14.43562,13.83119,0.004712739,0.003013756,0.002981656,0.01039037,0.003650523
1237671125370339600,132.810925128074,11.8139517576872,22.08042,18.10702,16.92719,16.44679,16.19942,0.2027647,0.006817244,0.004405217,0.004333944,0.007314379
1237671125370339600,132.811702870357,11.8166384535877,17.47872,15.76027,15.14673,14.92426,14.84903,0.009874718,0.003330196,0.003187612,0.003283887,0.004410361
1237671125370339600,132.795393284235,11.8163704728333,18.80912,16.57037,15.61621,15.26577,15.08869,0.01982837,0.003835723,0.003329759,0.003412746,0.004680711
1237671125370339600,132.798470070858,11.8140303498806,15.27235,13.99526,13.62675,15.47936,13.4832,0.00425363,0.00298017,0.002967248,0.01238649,0.003538787
