#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 4.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 266  1.374580  3.5464  0.6125  3.1024  3.6943  0.1082 -1.0480 -2.5116 -3.2363
 267  1.374605  3.5438  0.5762  3.1283  3.6785  0.1613 -0.9557 -2.5256 -3.2865
 268  1.374626  3.5412  0.5408  3.1536  3.6522  0.2223 -0.8396 -2.5335 -3.3328
 269  1.374648  3.5387  0.5062  3.1782  3.6235  0.2913 -0.7119 -2.5363 -3.3756
 270  1.374667  3.5362  0.4721  3.2022  3.5936  0.3838 -0.5512 -2.5260 -3.4121
 271  1.374686  3.5338  0.4388  3.2258  3.5641  0.4851 -0.3826 -2.5097 -3.4442
 272  1.374705  3.5314  0.4063  3.2486  3.5387  0.5963 -0.2143 -2.4857 -3.4696
 273  1.374721  3.5290  0.3744  3.2711  3.5196  0.7148 -0.0593 -2.4555 -3.4884
 274  1.374738  3.5267  0.3431  3.2930  3.5035  0.8306  0.0788 -2.4245 -3.5039
 275  1.374753  3.5244  0.3125  3.3144  3.4903  0.9396  0.1952 -2.3951 -3.5175
