#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=10.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 182  1.042538  3.6870  3.4736  0.6838  6.1831  3.8523  3.0298  2.7895  2.6758
 183  1.042890  3.6867  3.4593  0.6972  6.1545  3.8207  2.9972  2.7563  2.6421
 184  1.043244  3.6865  3.4449  0.7107  6.1253  3.7886  2.9641  2.7227  2.6081
 185  1.043596  3.6862  3.4302  0.7246  6.0962  3.7563  2.9307  2.6887  2.5736
 186  1.043947  3.6859  3.4148  0.7388  6.0666  3.7230  2.8961  2.6535  2.5378
 187  1.044296  3.6856  3.3988  0.7538  6.0348  3.6877  2.8597  2.6164  2.5002
 188  1.044640  3.6852  3.3818  0.7695  6.0020  3.6509  2.8215  2.5775  2.4607
 189  1.044979  3.6849  3.3639  0.7862  5.9670  3.6117  2.7809  2.5361  2.4188
 190  1.045311  3.6845  3.3444  0.8042  5.9300  3.5697  2.7373  2.4916  2.3736
 191  1.045640  3.6840  3.3242  0.8228  5.8928  3.5268  2.6924  2.4458  2.3270
 192  1.045962  3.6835  3.3027  0.8424  5.8536  3.4816  2.6450  2.3973  2.2777
 193  1.046276  3.6830  3.2798  0.8632  5.8133  3.4340  2.5950  2.3462  2.2256
 194  1.046585  3.6824  3.2564  0.8846  5.7716  3.3851  2.5436  2.2934  2.1719
 195  1.046886  3.6818  3.2316  0.9068  5.7288  3.3340  2.4898  2.2384  2.1157
 196  1.047182  3.6811  3.2060  0.9299  5.6852  3.2817  2.4345  2.1816  2.0579
 197  1.047471  3.6804  3.1796  0.9536  5.6412  3.2283  2.3778  2.1234  1.9983
 198  1.047750  3.6796  3.1520  0.9782  5.5971  3.1734  2.3192  2.0630  1.9366
 199  1.048023  3.6788  3.1234  1.0035  5.5523  3.1172  2.2591  2.0009  1.8731
 200  1.048289  3.6779  3.0942  1.0294  5.5073  3.0599  2.1975  1.9374  1.8082
 201  1.048547  3.6769  3.0639  1.0559  5.4620  3.0014  2.1346  1.8724  1.7415
 202  1.048796  3.6759  3.0328  1.0831  5.4168  2.9418  2.0702  1.8058  1.6731
