#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 9.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 117  0.987879  3.7609  4.2719  0.1578  6.2030  4.7169  4.2189  4.1081  4.0967
 118  0.989418  3.7611  4.2676  0.1637  6.1853  4.7015  4.2045  4.0939  4.0828
 119  0.990955  3.7613  4.2631  0.1694  6.1678  4.6861  4.1900  4.0797  4.0687
 120  0.992489  3.7615  4.2587  0.1753  6.1502  4.6707  4.1754  4.0654  4.0546
 121  0.994021  3.7616  4.2542  0.1812  6.1329  4.6551  4.1607  4.0510  4.0404
 122  0.995550  3.7618  4.2496  0.1871  6.1155  4.6395  4.1460  4.0365  4.0261
 123  0.997037  3.7620  4.2450  0.1931  6.0976  4.6237  4.1310  4.0218  4.0116
 124  0.998534  3.7622  4.2403  0.1992  6.0797  4.6078  4.1159  4.0070  3.9971
 125  1.000037  3.7623  4.2356  0.2051  6.0618  4.5918  4.1008  3.9921  3.9824
 126  1.001542  3.7625  4.2308  0.2113  6.0441  4.5759  4.0857  3.9773  3.9677
 127  1.003052  3.7627  4.2260  0.2173  6.0266  4.5600  4.0705  3.9623  3.9529
 128  1.004562  3.7628  4.2210  0.2234  6.0092  4.5440  4.0552  3.9473  3.9380
 129  1.006072  3.7629  4.2161  0.2296  5.9919  4.5282  4.0400  3.9321  3.9230
 130  1.007585  3.7630  4.2110  0.2357  5.9749  4.5122  4.0246  3.9170  3.9080
 131  1.009095  3.7631  4.2057  0.2419  5.9581  4.4964  4.0093  3.9016  3.8927
 132  1.010602  3.7631  4.2004  0.2481  5.9415  4.4806  3.9938  3.8863  3.8774
 133  1.012108  3.7632  4.1950  0.2543  5.9251  4.4648  3.9782  3.8708  3.8619
 134  1.013611  3.7632  4.1894  0.2606  5.9088  4.4489  3.9626  3.8552  3.8464
 135  1.015110  3.7632  4.1837  0.2669  5.8925  4.4331  3.9469  3.8396  3.8307
 136  1.016607  3.7632  4.1780  0.2732  5.8767  4.4173  3.9312  3.8239  3.8149
 137  1.018100  3.7632  4.1722  0.2796  5.8610  4.4015  3.9154  3.8080  3.7990
 138  1.019591  3.7631  4.1662  0.2860  5.8457  4.3859  3.8996  3.7920  3.7829
 139  1.021077  3.7631  4.1601  0.2923  5.8304  4.3702  3.8836  3.7760  3.7669
 140  1.022561  3.7630  4.1539  0.2987  5.8154  4.3545  3.8677  3.7599  3.7505
 141  1.024037  3.7627  4.1476  0.3052  5.8006  4.3389  3.8517  3.7437  3.7341
 142  1.025514  3.7627  4.1411  0.3117  5.7864  4.3234  3.8356  3.7273  3.7176
 143  1.026988  3.7625  4.1345  0.3182  5.7722  4.3078  3.8195  3.7109  3.7009
 144  1.028460  3.7623  4.1277  0.3247  5.7585  4.2924  3.8033  3.6943  3.6841
 145  1.029933  3.7620  4.1208  0.3313  5.7451  4.2770  3.7870  3.6777  3.6672
 146  1.031405  3.7616  4.1137  0.3378  5.7323  4.2619  3.7707  3.6610  3.6500
 147  1.032877  3.7614  4.1063  0.3445  5.7202  4.2469  3.7544  3.6441  3.6327
 148  1.034353  3.7610  4.0986  0.3511  5.7089  4.2320  3.7380  3.6270  3.6151
 149  1.035831  3.7605  4.0908  0.3577  5.6983  4.2174  3.7215  3.6099  3.5975
 150  1.037312  3.7600  4.0825  0.3644  5.6888  4.2031  3.7051  3.5927  3.5795
 151  1.038800  3.7594  4.0740  0.3712  5.6805  4.1892  3.6887  3.5752  3.5614
 152  1.040298  3.7587  4.0653  0.3778  5.6729  4.1754  3.6723  3.5578  3.5430
 153  1.041809  3.7578  4.0558  0.3845  5.6680  4.1625  3.6560  3.5402  3.5245
 154  1.043338  3.7569  4.0461  0.3912  5.6644  4.1498  3.6398  3.5225  3.5057
 155  1.044897  3.7558  4.0356  0.3978  5.6642  4.1382  3.6237  3.5048  3.4867
 156  1.046493  3.7545  4.0245  0.4044  5.6680  4.1272  3.6080  3.4871  3.4675
 157  1.048148  3.7528  4.0122  0.4107  5.6782  4.1183  3.5929  3.4696  3.4481
 158  1.049880  3.7507  3.9985  0.4169  5.6967  4.1122  3.5788  3.4526  3.4286
 159  1.051713  3.7480  3.9826  0.4222  5.7283  4.1117  3.5671  3.4368  3.4095
 160  1.053559  3.7442  3.9649  0.4260  5.7765  4.1212  3.5608  3.4246  3.3926
 161  1.055169  3.7400  3.9477  0.4271  5.8406  4.1410  3.5619  3.4188  3.3814
 162  1.056349  3.7362  3.9340  0.4260  5.9077  4.1653  3.5691  3.4196  3.3773
 163  1.057510  3.7317  3.9185  0.4237  5.9921  4.1971  3.5803  3.4230  3.3749
 164  1.058650  3.7264  3.9010  0.4204  6.0947  4.2371  3.5956  3.4294  3.3742
 165  1.059784  3.7204  3.8806  0.4177  6.2107  4.2811  3.6120  3.4354  3.3723
 166  1.060926  3.7142  3.8560  0.4178  6.3286  4.3213  3.6233  3.4356  3.3637
 167  1.062038  3.7085  3.8284  0.4231  6.4268  4.3471  3.6219  3.4238  3.3439
 168  1.063070  3.7040  3.7999  0.4337  6.4937  4.3530  3.6063  3.3994  3.3128
 169  1.063984  3.7006  3.7723  0.4482  6.5254  4.3412  3.5786  3.3654  3.2737
 170  1.064787  3.6982  3.7464  0.4648  6.5291  4.3170  3.5435  3.3256  3.2302
 171  1.065518  3.6964  3.7219  0.4824  6.5166  4.2861  3.5045  3.2831  3.1849
 172  1.066202  3.6950  3.6984  0.5005  6.4959  4.2511  3.4632  3.2392  3.1387
